date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday,gfc_2008_shock,gfc_2008_regime,opec_2014_shock,opec_2014_regime,covid_2020_shock,covid_2020_regime,war_2022_shock,war_2022_regime,gfc_2008_window,opec_2014_window,covid_2020_window,war_2022_window,cond_vix_gt_30,cond_termspread_inv,cond_inventory_draw,cond_opec_cut
2010-10-18,-3.490000000000009,0.65616389,217.923,89.8484,19.09,92.6805,11389.2,339770.0,32363.7965155,5528.0,2.14,2.52,0.19,-1.4799999999999898,-0.4799999999999897,1.3780892569060832,1.26994767815967,82.34,79.56750000000001,1.034844628774311,1,0.8799999999999955,8.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-19,2.3600000000000136,0.65616389,217.923,90.5499,20.63,92.6805,11389.2,339770.0,32363.7965155,5528.0,2.13,2.5,0.19,1.8299999999999983,-0.5100000000000051,2.167337075768321,1.4621306551165527,81.92,79.898,1.0253072667651255,1,-2.1000000000000085,6.609999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-20,-1.9000000000000057,0.65616389,217.923,90.1446,19.79,92.6805,11389.2,339770.0,32363.7965155,5528.0,2.16,2.51,0.19,-3.490000000000009,1.3599999999999994,2.4056911688743408,1.528111579695666,81.7,80.3455,1.016858442601017,1,-1.0999999999999943,8.950000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-21,1.1200000000000043,0.65616389,217.923,90.138,19.27,92.6805,11389.2,339770.0,32363.7965155,5528.0,2.2,2.57,0.19,2.3600000000000136,-0.3200000000000074,2.5230200157747458,1.6158467716567897,81.164,80.67699999999999,1.0060364168226386,1,-2.6799999999999926,6.6299999999999955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-22,0.8499999999999943,0.65616389,217.923,90.4063,18.78,92.6805,11389.2,340437.0,32363.7965155,5536.0,2.24,2.59,0.19,-1.9000000000000057,-1.4799999999999898,2.547632234055772,1.6128118629471773,81.148,81.003,1.0017900571583769,1,-0.0799999999999983,6.52000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-25,0.5999999999999943,0.65616389,217.923,89.9328,19.85,92.6805,11389.2,340437.0,32363.7965155,5536.0,2.22,2.59,0.19,1.1200000000000043,1.8299999999999983,2.403740834615913,1.5766168810061842,80.93599999999999,81.2775,0.9957983451754788,0,-1.0600000000000025,5.489999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-26,-0.6999999999999886,0.65616389,217.923,90.2818,20.22,92.6805,11389.2,340437.0,32363.7965155,5536.0,2.27,2.67,0.19,0.8499999999999943,-3.490000000000009,1.5556606313717605,1.5708860221979273,81.542,81.6,0.9992892156862746,0,3.030000000000001,6.449999999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-27,0.2999999999999971,0.65616389,217.923,90.8038,20.71,92.6805,11389.2,340437.0,32363.7965155,5536.0,2.35,2.75,0.19,0.5999999999999943,2.3600000000000136,1.268534587624621,1.5516710008042385,81.53599999999999,81.80250000000001,0.996742153357171,0,-0.0300000000000011,4.050000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-28,-0.75,0.65616389,217.923,90.2407,20.88,92.6805,11389.2,340437.0,32363.7965155,5536.0,2.32,2.69,0.19,-0.6999999999999886,-1.9000000000000057,0.7026948128454907,1.4866595369980822,81.97,81.91499999999999,1.0006714276994446,1,2.1700000000000017,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-29,1.4899999999999949,0.65616389,217.923,90.0935,21.2,92.6805,11389.2,345444.0,32363.7965155,5540.0,2.29,2.63,0.19,0.2999999999999971,1.1200000000000043,0.7427987614421276,1.4542764523982312,82.03,81.909,1.001477249142341,1,0.2999999999999971,-0.1199999999999903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
